id,property_id,old_total,new_total,property_name,action
11507,07797397-0aeb-4edf-84c2-53a83e9c85be,,4,Timberline Glamping at Lake Blackshear,update
11508,14a0d295-0df6-4ea2-bc9a-9823c67ef6ae,,4,Timberline Glamping at Kingston Downs,update
11509,14a0d295-0df6-4ea2-bc9a-9823c67ef6ae,,4,Timberline Glamping at Kingston Downs,update
11510,14a0d295-0df6-4ea2-bc9a-9823c67ef6ae,,4,Timberline Glamping at Kingston Downs,update
11511,7a37d2a5-d378-45bb-82b4-93eba7ea205d,,4,Timberline Glamping at Lake Lanier River Forks,update
11512,7a37d2a5-d378-45bb-82b4-93eba7ea205d,,4,Timberline Glamping at Lake Lanier River Forks,update
11513,7a37d2a5-d378-45bb-82b4-93eba7ea205d,,4,Timberline Glamping at Lake Lanier River Forks,update
11514,bf189a9d-fa5e-49b6-9b59-dece38f04ac2,,4,Timberline Glamping at Lula,update
11515,bf189a9d-fa5e-49b6-9b59-dece38f04ac2,,4,Timberline Glamping at Lula,update
11516,bf189a9d-fa5e-49b6-9b59-dece38f04ac2,,4,Timberline Glamping at Lula,update
11517,0d9a54ee-68b6-48ee-92ad-3929fe65f25b,,4,Timberline Glamping at Sebastian Inlet,update
11518,0d9a54ee-68b6-48ee-92ad-3929fe65f25b,,4,Timberline Glamping at Sebastian Inlet,update
11519,0d9a54ee-68b6-48ee-92ad-3929fe65f25b,,4,Timberline Glamping at Sebastian Inlet,update
11520,e76c005f-25ac-41f2-af85-639e21996882,,4,Timberline Glamping at Lake Manatee,update
11521,e76c005f-25ac-41f2-af85-639e21996882,,4,Timberline Glamping at Lake Manatee,update
11522,e76c005f-25ac-41f2-af85-639e21996882,,4,Timberline Glamping at Lake Manatee,update
11523,a82e2cac-a4ff-4f67-b80b-cc825ed5b98d,,4,Timberline Glamping at Sarasota,update
11524,a82e2cac-a4ff-4f67-b80b-cc825ed5b98d,,4,Timberline Glamping at Sarasota,update
11525,a82e2cac-a4ff-4f67-b80b-cc825ed5b98d,,4,Timberline Glamping at Sarasota,update
11526,bbb16cea-2593-4079-9469-18e9bc6d9c45,,4,Timberline Glamping at Jupiter,update
11527,bbb16cea-2593-4079-9469-18e9bc6d9c45,,4,Timberline Glamping at Jupiter,update
11528,bbb16cea-2593-4079-9469-18e9bc6d9c45,,4,Timberline Glamping at Jupiter,update
11529,8acbcb7e-b42f-4b0b-91bd-65bc2eb6fbf3,,4,Timberline Glamping at Fort Myers,update
11530,8acbcb7e-b42f-4b0b-91bd-65bc2eb6fbf3,,4,Timberline Glamping at Fort Myers,update
11531,8acbcb7e-b42f-4b0b-91bd-65bc2eb6fbf3,,4,Timberline Glamping at Fort Myers,update
11532,2c7cc642-7bde-4914-aae6-06180e93de32,,4,Timberline Glamping at Williamsburg,update
11533,2c7cc642-7bde-4914-aae6-06180e93de32,,4,Timberline Glamping at Williamsburg,update
11534,2c7cc642-7bde-4914-aae6-06180e93de32,,4,Timberline Glamping at Williamsburg,update
11535,b3919ce5-b64f-4860-8b30-eeac5c287eb6,,8,Timberline Glamping at Promised Land,update
11536,b3919ce5-b64f-4860-8b30-eeac5c287eb6,,8,Timberline Glamping at Promised Land,update
11537,b3919ce5-b64f-4860-8b30-eeac5c287eb6,,8,Timberline Glamping at Promised Land,update
11538,3a815328-58f9-4bf0-b792-165b54bdae2d,,8,Timberline Glamping at Laurel Hill,update
11539,3a815328-58f9-4bf0-b792-165b54bdae2d,,8,Timberline Glamping at Laurel Hill,update
11540,3a815328-58f9-4bf0-b792-165b54bdae2d,,8,Timberline Glamping at Laurel Hill,update
11541,e9c0b5d3-10e6-4a9e-a5fd-fc5a10db5c11,,8,Timberline Glamping at Hills Creek,update
11542,e9c0b5d3-10e6-4a9e-a5fd-fc5a10db5c11,,8,Timberline Glamping at Hills Creek,update
11543,e9c0b5d3-10e6-4a9e-a5fd-fc5a10db5c11,,8,Timberline Glamping at Hills Creek,update
11544,95a9c134-edca-4878-beec-a139e95f138b,,8,Timberline Glamping at Hickory Run,update
11545,95a9c134-edca-4878-beec-a139e95f138b,,8,Timberline Glamping at Hickory Run,update
11546,95a9c134-edca-4878-beec-a139e95f138b,,8,Timberline Glamping at Hickory Run,update
11547,63387933-affa-48cf-94f7-49bb387dbaa1,,8,Timberline Glamping at Codorus,update
11548,63387933-affa-48cf-94f7-49bb387dbaa1,,8,Timberline Glamping at Codorus,update
11549,63387933-affa-48cf-94f7-49bb387dbaa1,,8,Timberline Glamping at Codorus,update
11550,e4c517b7-ec4c-43df-962f-a148fc8e00fb,,9,Timberline Glamping at French Creek,update
11551,e4c517b7-ec4c-43df-962f-a148fc8e00fb,,9,Timberline Glamping at French Creek,update
11552,e4c517b7-ec4c-43df-962f-a148fc8e00fb,,9,Timberline Glamping at French Creek,update
11559,1f00be3c-02bf-4cd6-aa0c-7cc896106fe6,,55,Jellystone Park Camp-Resort at Watts Bar Lake,update
11560,80a3ffa1-cb32-4876-b337-439c2905fdf0,,71,Jellystone Park Camp-Resort in Bremen,update
11561,327cbd8b-c776-45a0-8f9b-dbf7d609b4cf,,68,Jellystone Park North Port Huron,update
11562,14fb9b28-f4e0-4aec-8bac-bff1ddd4f24c,,21,Jellystone Park Camp-Resort Cleveland/Sandusky,update
11563,fbceba1b-aa0a-4644-b70a-f79c7a68b39f,,30,Jellystone Park Camp-Resort in Mt. Gilead,update
11564,981f9885-df86-40a1-a2ee-6ef2030f4759,,16,Nashville KOA Resort,update
11565,af879615-9f67-49f1-ab62-a4c20ac9e707,,66,Jellystone Park Camp-Resort in Warrens,update
11567,6bcd4123-f520-406a-b7ee-5979a6765dee,,4,Edge-O-Dells Resort,update
11568,30b3599d-38c5-40f5-b6ca-5f60bc8d22d9,,4,Sandstone Rustic Retreat,update
11569,2d42a749-21fd-4b52-b811-1eff3930aeae,,3,BeanTown Glamping RV Park,update
11571,d6a39f3c-39c5-496e-8a5d-91c61ee6b76d,,4,Two Creeks Crossing Resort,update
11572,6028cf61-d1f8-4c73-8f89-fe635f6c7698,,6,Palo 32°,update
11574,1c0c2e1e-f3f0-41ff-bde0-a9a6c7e0b158,,4,Silk Road Yurts (Joshua Tree),update
11575,bf60f7ad-2fc9-4ce9-bfbd-4cd25bac3fd5,,4,Mojave Country Club,update
11576,aee4b70a-48ba-4d07-aa1f-daf9aaa6b4f3,,1,Quail Wash Retreat,update
11577,bab2827e-f0f3-44fe-b70e-2e2a75326ce5,,2,Rimrock Ranch,update
11579,f8008bf4-a9a8-4e7d-be5e-05c18aff883c,,3,Menizei,update
11580,77681a67-682f-4901-a847-c991933cc82f,,3,Aliya Preserve,update
11581,6b3a0372-f942-434f-8117-12c5b6c17a7b,,1,Madrone Straits,update
11583,55c34eed-a302-45c7-b081-5852df69adb4,,12,Bel Air Asheville,update
11584,e51a0a54-dd8e-4243-b629-dec31ecc95b1,,2,Soulshine Glamping,update
11585,044e051c-b566-414a-8dcf-ffff23a99e0c,,1,Bee Our Guest,update
11586,4a4e672e-411c-4c3e-a303-d242663955f4,,3,Hengarth Farm,update
11587,bc67bd91-f03f-4d24-87db-5d9cd2f4d28d,,4,Container Cabins in the Catskills,update
11588,eaea0e39-b4ca-441d-9b22-dedbc28c1026,,6,Keen Lake Camping & Cottage Resort,update
11589,fdaa1b38-db87-4a96-8c61-060c63544051,,12,The Emerson Resort & Spa,update
11590,0847a2b7-0a10-4fb6-9f31-6bdb90d40162,,3,Wildman Adventure Resort,update
11591,00a9b25b-2a69-4690-8a4d-35765840b953,,3,Boonies Farm,update
11592,e5cf722a-ce19-4fbf-aec6-c05e43df47e2,,1,Indigo Zen Garden,update
11801,21a3f40b-0ce7-4594-bec3-dd624361e9bc,,5,Pilot Mountain Glamping Resort,update
11851,c73f4846-0073-4c4f-a337-4f6b981a7838,,3,Luxe Den Resorts,update
11860,c73f4846-0073-4c4f-a337-4f6b981a7838,,3,Luxe Den Resorts,update
11861,c73f4846-0073-4c4f-a337-4f6b981a7838,,3,Luxe Den Resorts,update
11853,2eb9a012-53b1-4d75-99b6-86e3985fe322,,3,Prospect and Refuge,update
11862,2eb9a012-53b1-4d75-99b6-86e3985fe322,,3,Prospect and Refuge,update
11863,2eb9a012-53b1-4d75-99b6-86e3985fe322,,3,Prospect and Refuge,update
12247,68c46308-8c78-4255-99f7-2cdc9738cd90,,138,"Slackline Moab, Outset Collection by Hilton",update
12289,a8be4aad-812f-4d2b-a311-f307d4ff2667,,6,Dunya Camp,update
12908,390b09f3-1268-49dc-a565-214d3004db71,,45,Stargazing Resort,update
12937,e15b9692-9e32-4203-8ec8-ae077e9c3ecf,,10,Hidden Harmony,update
12938,1411077c-8173-4015-b660-f95e72e33909,,50,Princeville Glamping Resort,update
12941,e51df53b-1248-43f1-98da-de0e1880465a,,90,Clear Sky Acadia,update
12943,84d54466-09b0-4624-bb80-ed4608d6ee87,,6,Eco Dome Landers,update
12945,f02f8f6d-26de-4e7a-940a-75a02b698f47,,1000,"Tentrr, Inc.",update
12946,3bbd5e34-8782-45b3-99b9-97e9f8b77c04,,12,Awosting Club,update
12949,8c36bf11-e781-4374-95d9-4162409c22f7,,82,George Eco Luxury Hotel Resort,update
12950,8d7dc86f-98ed-4711-a0f1-b52364c4e0a8,,10,Sunset Glamping Retreat,update
12954,7c44a1d6-5e3d-4687-bbdc-aeace91e2ce4,,90,Lamoine Glamping Domes,update
12959,aaed32da-3abc-482c-a74f-62bb5366fa3d,,8,The Ridge Outdoor Resort,update
12961,c390f3ea-e9f7-42f3-8d51-72c83d2c65fa,,3,Afton Glamping Site,update
12962,5b67b584-266a-48fa-99c9-1358ab706d15,,27,Colorado Glamping Resort,update
12963,d87604e7-f156-4da3-aa3f-f1ceae125704,,5,Julandy’s Isle Glamping Resort,update
12973,b0c150b6-99eb-47a1-b6fd-ccc4daec8302,,10,Backland Luxury Nature Resort,update
12976,ea97bd96-3ec4-4b53-862c-c57674e3a839,,5,Clark Farm Silos,update
12977,b41e8a20-d742-40d6-a826-b4d6858b110c,,40,Copacabana Campground,update
12980,00d078c8-fb51-45ba-86cd-79ead0285fb2,,15,Boyne Mountain Resort Glamping Cabins,update
